"","Population","Size.Variable","Soil.Metric","Slope","P.value","p_bonf_corrected","Significance.reg","Significance.bonf","p_holm_corrected","p_hoch_corrected","p_fdr_corrected","Significance.holm","Significance.hoch","Significance.fdr"
"92","LM","DBH","Silt 100-200",-0.00391989603315711,0.394,1,"N","N",1,0.994,0.560431034482759,"N","N","N"
"93","LM","DBH","Sand 0-5",0.00302472433155062,0.024,1,"Y","N",1,0.994,0.0726605504587156,"N","N","N"
"94","LM","DBH","Sand 100-200",0.00214379362989525,0.082,1,"N","N",1,0.994,0.17458064516129,"N","N","N"
"95","LM","DBH","Ph 0-5",0.0194352032408747,0.55,1,"N","N",1,0.994,0.706225680933852,"N","N","N"
"96","LM","DBH","Ph 100-200",0.0528232612181207,0.03,1,"Y","N",1,0.994,0.0838983050847458,"N","N","N"
"97","LM","DBH","Volume of water content -10 kpa 0-5",0.0233776475961627,0.008,1,"Y","N",1,0.994,0.0338461538461538,"N","N","Y"
"98","LM","DBH","Volume of water content -10 kpa 100-200",-0.0170680860314928,0.128,1,"N","N",1,0.994,0.237303370786517,"N","N","N"
"99","LM","DBH","Volume of water content -33 kpa 0-5",-0.0145571430810581,0.01,1,"Y","N",1,0.994,0.0392857142857143,"N","N","Y"
"100","LM","DBH","Volume of water content -33 kpa 100-200",-0.00401068843444495,0.526,1,"N","N",1,0.994,0.694183266932271,"N","N","N"
"101","LM","DBH","Volume of water content -1500 kpa 0-5",0.0156628833172412,0.06,1,"N","N",1,0.994,0.138461538461538,"N","N","N"
"102","LM","DBH","Volume of water content -1500 kpa 100-200",-0.00272530800880896,0.64,1,"N","N",1,0.994,0.785130111524164,"N","N","N"
"103","LM","DBH","Nitrogen 0-5",-0.00488527175423506,0.388,1,"N","N",1,0.994,0.556695652173913,"N","N","N"
"104","LM","DBH","Nitrogen 100-200",0.0016504369025748,0.844,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"105","LM","DBH","Soil Organic Carbon 0-5",-0.0112662044021487,0.02,1,"Y","N",1,0.994,0.0634615384615385,"N","N","N"
"106","LM","DBH","Soil Organic Carbon 100-200",-0.00309271446448292,0.24,1,"N","N",1,0.994,0.382608695652174,"N","N","N"
"107","LM","DBH","Sand Available Water 0-5",-0.0146604029491056,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"108","LM","DBH","Sand Available Water 100-200",-0.000478001921259237,0.92,1,"N","N",1,0.994,0.96687898089172,"N","N","N"
"109","LM","DBH","Clay/Loam Available Water 0-5",0.0031994988356385,0.646,1,"N","N",1,0.994,0.786176470588235,"N","N","N"
"110","LM","DBH","Clay/Loam Available Water 100-200",-0.00123831625105435,0.812,1,"N","N",1,0.994,0.902222222222222,"N","N","N"
"111","LC","SCA","Clay 0-5",0.129312915731072,0.106,1,"N","N",1,0.994,0.204561403508772,"N","N","N"
"112","LC","SCA","Clay 100-200",-0.012792178205495,0.844,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"113","LC","SCA","Silt 0-5",0.170212837398741,0.078,1,"N","N",1,0.994,0.17046357615894,"N","N","N"
"114","LC","SCA","Silt 100-200",0.204601014929194,0.022,1,"Y","N",1,0.994,0.0678504672897196,"N","N","N"
"115","LC","SCA","Sand 0-5",-0.124528418591374,0.028,1,"Y","N",1,0.994,0.0796551724137931,"N","N","N"
"116","LC","SCA","Sand 100-200",-0.0235457621986549,0.528,1,"N","N",1,0.994,0.694183266932271,"N","N","N"
"117","LC","SCA","Ph 0-5",1.58427253583376,0.126,1,"N","N",1,0.994,0.234915254237288,"N","N","N"
"118","LC","SCA","Ph 100-200",-0.540629471770708,0.352,1,"N","N",1,0.994,0.520896860986547,"N","N","N"
"119","LC","SCA","Volume of water content -10 kpa 0-5",-0.182233261216144,0.224,1,"N","N",1,0.994,0.365940594059406,"N","N","N"
"120","LC","SCA","Volume of water content -10 kpa 100-200",-0.211793376522486,0.224,1,"N","N",1,0.994,0.365940594059406,"N","N","N"
"121","LC","SCA","Volume of water content -33 kpa 0-5",0.0617162317803372,0.49,1,"N","N",1,0.994,0.66,"N","N","N"
"122","LC","SCA","Volume of water content -33 kpa 100-200",0.0470791207217602,0.54,1,"N","N",1,0.994,0.698671875,"N","N","N"
"123","LC","SCA","Volume of water content -1500 kpa 0-5",0.726324446614426,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"124","LC","SCA","Volume of water content -1500 kpa 100-200",-0.0529019741934871,0.69,1,"N","N",1,0.994,0.813214285714286,"N","N","N"
"125","LC","SCA","Nitrogen 0-5",0.0125434119595489,0.86,1,"N","N",1,0.994,0.921428571428571,"N","N","N"
"126","LC","SCA","Nitrogen 100-200",-0.285721789275409,0.4,1,"N","N",1,0.994,0.566523605150215,"N","N","N"
"127","LC","SCA","Soil Organic Carbon 0-5",0.0449361612005217,0.23,1,"N","N",1,0.994,0.370243902439024,"N","N","N"
"128","LC","SCA","Soil Organic Carbon 100-200",0.078777016816173,0.24,1,"N","N",1,0.994,0.382608695652174,"N","N","N"
"129","LC","SCA","Sand Available Water 0-5",-0.0522939235413852,0.504,1,"N","N",1,0.994,0.67609756097561,"N","N","N"
"130","LC","SCA","Sand Available Water 100-200",0.0530291654605409,0.47,1,"N","N",1,0.994,0.640909090909091,"N","N","N"
"131","LC","SCA","Clay/Loam Available Water 0-5",-0.249907096022405,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"132","LC","SCA","Clay/Loam Available Water 100-200",-0.035964885318195,0.708,1,"N","N",1,0.994,0.831459074733096,"N","N","N"
"133","LC","LCA","Clay 0-5",0.231216850164294,0.018,1,"Y","N",1,0.994,0.0582352941176471,"N","N","N"
"134","LC","LCA","Clay 100-200",-0.0115536355756767,0.856,1,"N","N",1,0.994,0.920130293159609,"N","N","N"
"135","LC","LCA","Silt 0-5",0.205729300582808,0.054,1,"N","N",1,0.994,0.13007299270073,"N","N","N"
"136","LC","LCA","Silt 100-200",0.330074744082576,0.012,1,"Y","N",1,0.994,0.044,"N","N","Y"
"137","LC","LCA","Sand 0-5",-0.188633173519148,0.012,1,"Y","N",1,0.994,0.044,"N","N","Y"
"138","LC","LCA","Sand 100-200",-0.0435194723968014,0.302,1,"N","N",1,0.994,0.465700934579439,"N","N","N"
"139","LC","LCA","Ph 0-5",2.06455606737017,0.096,1,"N","N",1,0.994,0.188571428571429,"N","N","N"
"140","LC","LCA","Ph 100-200",-1.13263610450922,0.094,1,"N","N",1,0.994,0.186867469879518,"N","N","N"
"141","LC","LCA","Volume of water content -10 kpa 0-5",-0.292662537695221,0.102,1,"N","N",1,0.994,0.198,"N","N","N"
"142","LC","LCA","Volume of water content -10 kpa 100-200",-0.160140920457003,0.394,1,"N","N",1,0.994,0.560431034482759,"N","N","N"
"143","LC","LCA","Volume of water content -33 kpa 0-5",-0.0643701933997225,0.532,1,"N","N",1,0.994,0.696666666666667,"N","N","N"
"144","LC","LCA","Volume of water content -33 kpa 100-200",-0.0608910561802955,0.526,1,"N","N",1,0.994,0.694183266932271,"N","N","N"
"145","LC","LCA","Volume of water content -1500 kpa 0-5",0.675122405600529,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"146","LC","LCA","Volume of water content -1500 kpa 100-200",-0.0201039016967848,0.916,1,"N","N",1,0.994,0.965750798722045,"N","N","N"
"147","LC","LCA","Nitrogen 0-5",0.0436860530396852,0.51,1,"N","N",1,0.994,0.681290322580645,"N","N","N"
"148","LC","LCA","Nitrogen 100-200",-0.107469111862895,0.748,1,"N","N",1,0.994,0.851172413793103,"N","N","N"
"149","LC","LCA","Soil Organic Carbon 0-5",0.0874094283179565,0.046,1,"Y","N",1,0.994,0.117674418604651,"N","N","N"
"150","LC","LCA","Soil Organic Carbon 100-200",0.140110527829406,0.062,1,"N","N",1,0.994,0.142083333333333,"N","N","N"
"151","LC","LCA","Sand Available Water 0-5",-0.145773575237623,0.086,1,"N","N",1,0.994,0.179620253164557,"N","N","N"
"152","LC","LCA","Sand Available Water 100-200",-0.0490812763837712,0.582,1,"N","N",1,0.994,0.733053435114504,"N","N","N"
"153","LC","LCA","Clay/Loam Available Water 0-5",-0.282935795571294,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"154","LC","LCA","Clay/Loam Available Water 100-200",-0.033463425012323,0.74,1,"N","N",1,0.994,0.847916666666667,"N","N","N"
"155","LC","CA","Clay 0-5",2.36058086794994,0.13,1,"N","N",1,0.994,0.239664804469274,"N","N","N"
"156","LC","CA","Clay 100-200",-0.0625564788070619,0.99,1,"N","N",1,0.994,0.993009118541033,"N","N","N"
"157","LC","CA","Silt 0-5",2.74213722978915,0.144,1,"N","N",1,0.994,0.258260869565217,"N","N","N"
"158","LC","CA","Silt 100-200",3.6142143680747,0.052,1,"N","N",1,0.994,0.128059701492537,"N","N","N"
"159","LC","CA","Sand 0-5",-2.14922263045721,0.06,1,"N","N",1,0.994,0.138461538461538,"N","N","N"
"160","LC","CA","Sand 100-200",-0.521686007185393,0.488,1,"N","N",1,0.994,0.66,"N","N","N"
"161","LC","CA","Ph 0-5",21.7498942234318,0.314,1,"N","N",1,0.994,0.479722222222222,"N","N","N"
"162","LC","CA","Ph 100-200",-9.24415097291591,0.458,1,"N","N",1,0.994,0.62975,"N","N","N"
"163","LC","CA","Volume of water content -10 kpa 0-5",-2.87968241783781,0.362,1,"N","N",1,0.994,0.52625550660793,"N","N","N"
"164","LC","CA","Volume of water content -10 kpa 100-200",-3.28345380753526,0.338,1,"N","N",1,0.994,0.509315068493151,"N","N","N"
"165","LC","CA","Volume of water content -33 kpa 0-5",0.718350074956398,0.682,1,"N","N",1,0.994,0.813214285714286,"N","N","N"
"166","LC","CA","Volume of water content -33 kpa 100-200",0.510687209092939,0.738,1,"N","N",1,0.994,0.847916666666667,"N","N","N"
"167","LC","CA","Volume of water content -1500 kpa 0-5",11.451514370555,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"168","LC","CA","Volume of water content -1500 kpa 100-200",-1.0574180280692,0.712,1,"N","N",1,0.994,0.833191489361702,"N","N","N"
"169","LC","CA","Nitrogen 0-5",0.124249514865168,0.928,1,"N","N",1,0.994,0.972190476190476,"N","N","N"
"170","LC","CA","Nitrogen 100-200",-5.48386855267238,0.422,1,"N","N",1,0.994,0.587594936708861,"N","N","N"
"171","LC","CA","Soil Organic Carbon 0-5",0.797348987657336,0.322,1,"N","N",1,0.994,0.489677419354839,"N","N","N"
"172","LC","CA","Soil Organic Carbon 100-200",1.4490144989607,0.312,1,"N","N",1,0.994,0.478883720930233,"N","N","N"
"173","LC","CA","Sand Available Water 0-5",-1.02777453536959,0.512,1,"N","N",1,0.994,0.681290322580645,"N","N","N"
"174","LC","CA","Sand Available Water 100-200",0.68177697081155,0.646,1,"N","N",1,0.994,0.786176470588235,"N","N","N"
"175","LC","CA","Clay/Loam Available Water 0-5",-3.94281206504194,0.026,1,"Y","N",1,0.994,0.075929203539823,"N","N","N"
"176","LC","CA","Clay/Loam Available Water 100-200",-0.482797671357036,0.802,1,"N","N",1,0.994,0.897152542372881,"N","N","N"
"177","LC","CS","Clay 0-5",0.180264882947683,0.028,1,"Y","N",1,0.994,0.0796551724137931,"N","N","N"
"178","LC","CS","Clay 100-200",-0.012172906890586,0.844,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"179","LC","CS","Silt 0-5",0.187971068990774,0.052,1,"N","N",1,0.994,0.128059701492537,"N","N","N"
"180","LC","CS","Silt 100-200",0.267337879505885,0.014,1,"Y","N",1,0.994,0.0486315789473684,"N","N","Y"
"181","LC","CS","Sand 0-5",-0.156580796055261,0.012,1,"Y","N",1,0.994,0.044,"N","N","Y"
"182","LC","CS","Sand 100-200",-0.033532617297728,0.362,1,"N","N",1,0.994,0.52625550660793,"N","N","N"
"183","LC","CS","Ph 0-5",1.82441430160197,0.084,1,"N","N",1,0.994,0.177692307692308,"N","N","N"
"184","LC","CS","Ph 100-200",-0.836632788139964,0.17,1,"N","N",1,0.994,0.296825396825397,"N","N","N"
"185","LC","CS","Volume of water content -10 kpa 0-5",-0.237447899455683,0.136,1,"N","N",1,0.994,0.247955801104972,"N","N","N"
"186","LC","CS","Volume of water content -10 kpa 100-200",-0.185967148489744,0.278,1,"N","N",1,0.994,0.436857142857143,"N","N","N"
"187","LC","CS","Volume of water content -33 kpa 0-5",-0.00132698080969255,0.968,1,"N","N",1,0.994,0.985925925925926,"N","N","N"
"188","LC","CS","Volume of water content -33 kpa 100-200",-0.00690596772926769,0.952,1,"N","N",1,0.994,0.984827586206897,"N","N","N"
"189","LC","CS","Volume of water content -1500 kpa 0-5",0.700723426107478,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"190","LC","CS","Volume of water content -1500 kpa 100-200",-0.0365029379451362,0.806,1,"N","N",1,0.994,0.898581081081081,"N","N","N"
"191","LC","CS","Nitrogen 0-5",0.0281147324996171,0.648,1,"N","N",1,0.994,0.786176470588235,"N","N","N"
"192","LC","CS","Nitrogen 100-200",-0.196595450569151,0.574,1,"N","N",1,0.994,0.725747126436782,"N","N","N"
"193","LC","CS","Soil Organic Carbon 0-5",0.066172794759239,0.098,1,"N","N",1,0.994,0.191360946745562,"N","N","N"
"194","LC","CS","Soil Organic Carbon 100-200",0.109443772322789,0.122,1,"N","N",1,0.994,0.230057142857143,"N","N","N"
"195","LC","CS","Sand Available Water 0-5",-0.0990337493895044,0.188,1,"N","N",1,0.994,0.321450777202073,"N","N","N"
"196","LC","CS","Sand Available Water 100-200",0.00197394453838494,0.96,1,"N","N",1,0.994,0.984891640866873,"N","N","N"
"197","LC","CS","Clay/Loam Available Water 0-5",-0.26642144579685,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"198","LC","CS","Clay/Loam Available Water 100-200",-0.0347141551652587,0.716,1,"N","N",1,0.994,0.834911660777385,"N","N","N"
"199","LC","DBH","Clay 0-5",0.00467856900938928,0.176,1,"N","N",1,0.994,0.305684210526316,"N","N","N"
"200","LC","DBH","Clay 100-200",0.00102223128576389,0.63,1,"N","N",1,0.994,0.778651685393258,"N","N","N"
"201","LC","DBH","Silt 0-5",0.00615585908045454,0.158,1,"N","N",1,0.994,0.277340425531915,"N","N","N"
"202","LC","DBH","Silt 100-200",0.0094105523373402,0.026,1,"Y","N",1,0.994,0.075929203539823,"N","N","N"
"203","LC","DBH","Sand 0-5",-0.00457163728544885,0.064,1,"N","N",1,0.994,0.145655172413793,"N","N","N"
"204","LC","DBH","Sand 100-200",-0.00230125906393494,0.206,1,"N","N",1,0.994,0.34507614213198,"N","N","N"
"205","LC","DBH","Ph 0-5",0.0813321187576647,0.094,1,"N","N",1,0.994,0.186867469879518,"N","N","N"
"206","LC","DBH","Ph 100-200",-0.0191382628906664,0.484,1,"N","N",1,0.994,0.657283950617284,"N","N","N"
"207","LC","DBH","Volume of water content -10 kpa 0-5",-0.00527093363982842,0.46,1,"N","N",1,0.994,0.629875518672199,"N","N","N"
"208","LC","DBH","Volume of water content -10 kpa 100-200",-0.0190194972415448,0.016,1,"Y","N",1,0.994,0.0528,"N","N","N"
"209","LC","DBH","Volume of water content -33 kpa 0-5",0.0021343464828655,0.574,1,"N","N",1,0.994,0.725747126436782,"N","N","N"
"210","LC","DBH","Volume of water content -33 kpa 100-200",0.00212093194945891,0.542,1,"N","N",1,0.994,0.698671875,"N","N","N"
"211","LC","DBH","Volume of water content -1500 kpa 0-5",0.0251678532465583,0.008,1,"Y","N",1,0.994,0.0338461538461538,"N","N","Y"
"212","LC","DBH","Volume of water content -1500 kpa 100-200",0.00675694577837908,0.298,1,"N","N",1,0.994,0.463867924528302,"N","N","N"
"213","LC","DBH","Nitrogen 0-5",-0.0010505071529593,0.658,1,"N","N",1,0.994,0.794890510948905,"N","N","N"
