"","Population","Size.Variable","Soil.Metric","Slope","P.value","p_bonf_corrected","Significance.reg","Significance.bonf","p_holm_corrected","p_hoch_corrected","p_fdr_corrected","Significance.holm","Significance.hoch","Significance.fdr"
"262","SD","LCA","Sand Available Water 100-200",-0.14818882522806,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"263","SD","LCA","Clay/Loam Available Water 0-5",0.568580669494754,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"264","SD","LCA","Clay/Loam Available Water 100-200",-0.428247077463714,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"265","SD","CA","Clay 0-5",7.95988689343458,0.008,1,"Y","N",1,0.994,0.0338461538461538,"N","N","Y"
"266","SD","CA","Clay 100-200",1.11879701974293,0.01,1,"Y","N",1,0.994,0.0392857142857143,"N","N","Y"
"267","SD","CA","Silt 0-5",1.61925372681167,0.348,1,"N","N",1,0.994,0.520896860986547,"N","N","N"
"268","SD","CA","Silt 100-200",2.65836785122257,0.354,1,"N","N",1,0.994,0.521517857142857,"N","N","N"
"269","SD","CA","Sand 0-5",-1.99729006202898,0.088,1,"N","N",1,0.994,0.1815,"N","N","N"
"270","SD","CA","Sand 100-200",-0.965137441119966,0.01,1,"Y","N",1,0.994,0.0392857142857143,"N","N","Y"
"271","SD","CA","Ph 0-5",-3.28945367263768,0.352,1,"N","N",1,0.994,0.520896860986547,"N","N","N"
"272","SD","CA","Ph 100-200",-0.340288257965848,0.838,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"273","SD","CA","Volume of water content -10 kpa 0-5",11.6889143940887,0.01,1,"Y","N",1,0.994,0.0392857142857143,"N","N","Y"
"274","SD","CA","Volume of water content -10 kpa 100-200",-11.3838091964288,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"275","SD","CA","Volume of water content -33 kpa 0-5",-3.51107635951718,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"276","SD","CA","Volume of water content -33 kpa 100-200",-2.17218157899037,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"277","SD","CA","Volume of water content -1500 kpa 0-5",-6.18217763591173,0.018,1,"Y","N",1,0.994,0.0582352941176471,"N","N","N"
"278","SD","CA","Volume of water content -1500 kpa 100-200",4.40528857364303,0.144,1,"N","N",1,0.994,0.258260869565217,"N","N","N"
"279","SD","CA","Nitrogen 0-5",-0.013249164202201,0.98,1,"N","N",1,0.994,0.991009174311927,"N","N","N"
"280","SD","CA","Nitrogen 100-200",-0.172419477546867,0.766,1,"N","N",1,0.994,0.868659793814433,"N","N","N"
"281","SD","CA","Soil Organic Carbon 0-5",-0.0275014557828198,0.904,1,"N","N",1,0.994,0.965436893203883,"N","N","N"
"282","SD","CA","Soil Organic Carbon 100-200",-0.0168057267725906,0.938,1,"N","N",1,0.994,0.979556962025316,"N","N","N"
"283","SD","CA","Sand Available Water 0-5",-2.77532323842705,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"284","SD","CA","Sand Available Water 100-200",-2.38617118322677,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"285","SD","CA","Clay/Loam Available Water 0-5",10.2620491170906,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"286","SD","CA","Clay/Loam Available Water 100-200",-7.01604812603634,0.01,1,"Y","N",1,0.994,0.0392857142857143,"N","N","Y"
"287","SD","CS","Clay 0-5",0.439596000965013,0.008,1,"Y","N",1,0.994,0.0338461538461538,"N","N","Y"
"288","SD","CS","Clay 100-200",0.0685833993837597,0.004,1,"Y","N",1,0.994,0.0212903225806452,"N","N","Y"
"289","SD","CS","Silt 0-5",0.152121358508653,0.094,1,"N","N",1,0.994,0.186867469879518,"N","N","N"
"290","SD","CS","Silt 100-200",0.262189921110836,0.078,1,"N","N",1,0.994,0.17046357615894,"N","N","N"
